,x1,x2,x3
2,1519174331.0,104.114129,37.550339
2,1519182060.0,104.114129,37.550339
2,1519286597.0,102.60347800000001,24.983629999999998
2,1519262215.0,112.979353,28.213478000000002
2,1519201450.0,104.114129,37.550339
2,1519255033.0,102.60347800000001,24.983629999999998
2,1519254616.0,121.973871,24.086957
2,1519273954.0,104.114129,37.550339
2,1519193479.0,106.734996,26.902826
2,1519182925.0,121.973871,24.086957
2,1519198241.0,104.114129,37.550339
2,1519188576.0,104.114129,37.550339
2,1519269007.0,104.114129,37.550339
2,1519269885.0,112.979353,28.213478000000002
2,1519177785.0,104.114129,37.550339
2,1519126878.0,116.39456200000001,39.990183
2,1519100773.0,104.114129,37.550339
2,1519103496.0,104.114129,37.550339
2,1519107426.0,104.114129,37.550339
2,1519125030.0,104.114129,37.550339
2,1519095519.0,104.114129,37.550339
2,1519119322.0,104.114129,37.550339
2,1519176497.0,109.122628,21.472718
2,1519107937.0,103.559263,29.776107
2,1518750235.0,102.457625,38.103266999999995
2,1518751333.0,125.384552,46.535467
2,1518914364.0,109.122628,21.472718
2,1518752373.0,120.219375,30.259244
2,1518925771.0,104.114129,37.550339
2,1518829112.0,116.294673,39.816829999999996
2,1518746173.0,104.114129,37.550339
2,1518938593.0,106.530635,29.544605999999998
2,1518829517.0,116.75771200000001,27.931492
2,1518689637.0,104.114129,37.550339
2,1518751646.0,116.236125,40.004292
2,1518666908.0,104.114129,37.550339
2,1518668706.0,104.114129,37.550339
2,1518847435.0,104.114129,37.550339
2,1518748398.0,116.39456200000001,39.990183
2,1518919351.0,118.52766299999999,36.09929
2,1518688574.0,104.114129,37.550339
2,1518913251.0,103.559263,29.776107
2,1518580578.0,104.114129,37.550339
2,1518488726.0,117.74981799999999,39.052434999999996
2,1518742517.0,113.041381,23.078265
2,1518594614.0,104.114129,37.550339
2,1518689145.0,116.294673,39.816829999999996
2,1518585317.0,104.114129,37.550339
2,1518509708.0,121.973871,24.086957
2,1518660627.0,104.114129,37.550339
2,1518492654.0,104.114129,37.550339
2,1518573128.0,88.956063,29.268159999999998
2,1518564604.0,113.041381,23.078265
2,1518509366.0,103.965506,30.706861
2,1518493806.0,104.114129,37.550339
2,1518661505.0,104.114129,37.550339
2,1518516094.0,113.041381,23.078265
2,1518563749.0,121.973871,24.086957
2,1518508863.0,113.041381,23.078265
2,1518600536.0,104.114129,37.550339
2,1518595030.0,104.114129,37.550339
2,1518586043.0,121.973871,24.086957
2,1518742559.0,116.184556,39.938867
2,1518571704.0,104.114129,37.550339
2,1518411702.0,104.114129,37.550339
2,1518484326.0,104.114129,37.550339
2,1518477372.0,113.041381,23.078265
2,1518423501.0,104.114129,37.550339
2,1518343351.0,104.114129,37.550339
2,1518402361.0,104.114129,37.550339
2,1518421735.0,121.973871,24.086957
2,1518404885.0,116.294673,39.816829999999996
2,1518414666.0,104.114129,37.550339
2,1518486183.0,102.117888,27.863377000000003
2,1518483768.0,116.40564099999999,39.835826000000004
2,1518509527.0,104.114129,37.550339
2,1518417735.0,104.114129,37.550339
2,1518496496.0,104.114129,37.550339
2,1518342810.0,118.79231000000001,34.556383000000004
2,1518418496.0,121.973871,24.086957
2,1518477601.0,116.395645,39.929986
2,1518421824.0,104.114129,37.550339
2,1518428915.0,118.79231000000001,34.556383000000004
2,1518411721.0,104.114129,37.550339
2,1518241021.0,104.114129,37.550339
2,1518335659.0,104.114129,37.550339
2,1518314343.0,116.40408000000001,39.910154
2,1518322296.0,104.114129,37.550339
2,1518325507.0,89.137982,31.367315
2,1518310688.0,104.114129,37.550339
2,1518357658.0,118.79231000000001,34.556383000000004
2,1518304491.0,116.40408000000001,39.910154
2,1518229392.0,116.294673,39.816829999999996
2,1518310780.0,121.973871,24.086957
2,1518248349.0,116.395645,39.929986
2,1518305578.0,104.114129,37.550339
2,1518322883.0,116.48363,40.001376
2,1518322823.0,104.114129,37.550339
2,1518227885.0,116.395645,39.929986
2,1518225500.0,104.114129,37.550339
2,1518305558.0,116.294673,39.816829999999996
2,1518335534.0,121.973871,24.086957
2,1518247641.0,104.114129,37.550339
2,1518137446.0,104.114129,37.550339
2,1518143634.0,116.395645,39.929986
2,1518141364.0,106.530635,29.544605999999998
2,1518162127.0,116.41757700000001,40.086084
2,1518173300.0,104.114129,37.550339
2,1518137673.0,104.114129,37.550339
2,1518169905.0,104.114129,37.550339
2,1518160424.0,104.114129,37.550339
2,1518171831.0,121.973871,24.086957
2,1518221332.0,104.114129,37.550339
2,1518145249.0,104.114129,37.550339
2,1518219608.0,116.39456200000001,39.990183
2,1518156086.0,116.39456200000001,39.990183
2,1518147206.0,104.114129,37.550339
2,1518169849.0,104.114129,37.550339
2,1518151670.0,106.530635,29.544605999999998
2,1518220812.0,104.114129,37.550339
2,1518072190.0,121.973871,24.086957
2,1518065384.0,112.979353,28.213478000000002
2,1518071434.0,104.114129,37.550339
2,1518135455.0,104.114129,37.550339
2,1518131962.0,121.973871,24.086957
2,1518132574.0,104.114129,37.550339
2,1518077093.0,104.114129,37.550339
2,1518133251.0,104.114129,37.550339
2,1518083165.0,121.973871,24.086957
2,1518083056.0,104.114129,37.550339
2,1518132732.0,106.530635,29.544605999999998
2,1518083777.0,104.114129,37.550339
2,1518047776.0,104.114129,37.550339
2,1518060198.0,104.114129,37.550339
2,1518071652.0,121.973871,24.086957
2,1518082777.0,104.114129,37.550339
2,1518080622.0,106.734996,26.902826
2,1518046955.0,116.395645,39.929986
2,1518068890.0,121.973871,24.086957
2,1518064575.0,112.979353,28.213478000000002
2,1518075786.0,104.114129,37.550339
2,1518046635.0,104.114129,37.550339
2,1517962684.0,104.114129,37.550339
2,1517979100.0,102.89916,30.367481
2,1517983337.0,115.44650700000001,26.425201
2,1518004427.0,116.23563700000001,39.857363
2,1518009669.0,116.184556,39.938867
2,1517983564.0,121.973871,24.086957
2,1517990603.0,106.734996,26.902826
2,1518002391.0,116.523679,40.107461
2,1517984316.0,119.957202,29.159494
2,1517962097.0,104.114129,37.550339
2,1517978824.0,104.114129,37.550339
2,1518003319.0,104.114129,37.550339
2,1517975141.0,104.114129,37.550339
2,1518002975.0,104.067923,30.679942999999998
2,1517971400.0,104.114129,37.550339
2,1518009172.0,121.973871,24.086957
2,1517971438.0,89.181595,42.96047
2,1517963556.0,116.40408000000001,39.910154
2,1517963964.0,104.114129,37.550339
2,1517960716.0,112.447525,34.657368
2,1517993595.0,116.23563700000001,39.857363
2,1517991157.0,103.211473,27.543329999999997
2,1517963137.0,104.114129,37.550339
2,1517898439.0,104.114129,37.550339
2,1517912298.0,104.114129,37.550339
2,1517901178.0,106.530635,29.544605999999998
2,1517909468.0,116.500961,39.991887
2,1517874323.0,121.973871,24.086957
2,1517890319.0,104.114129,37.550339
2,1517898320.0,104.114129,37.550339
2,1517900816.0,104.114129,37.550339
2,1517887212.0,90.90831999999999,29.296121000000003
2,1517908673.0,104.114129,37.550339
2,1517896691.0,104.114129,37.550339
2,1517898805.0,104.114129,37.550339
2,1517896397.0,104.114129,37.550339
2,1517913279.0,121.973871,24.086957
2,1517910692.0,109.50378899999998,35.860026
2,1517896951.0,121.973871,24.086957
2,1517899845.0,121.973871,24.086957
2,1517810244.0,121.973871,24.086957
2,1517819010.0,121.973871,24.086957
2,1517818685.0,116.441872,39.927935
2,1517824799.0,121.973871,24.086957
2,1517820806.0,115.49481000000002,38.886565000000004
2,1517819058.0,112.979353,28.213478000000002
2,1517823454.0,104.114129,37.550339
2,1517817936.0,113.763434,23.043024
2,1517821485.0,104.114129,37.550339
2,1517823657.0,104.114129,37.550339
2,1517799612.0,104.114129,37.550339
2,1517822998.0,104.114129,37.550339
2,1517828747.0,110.151676,22.643974
2,1517804944.0,106.734996,26.902826
2,1517819692.0,114.353622,30.564859999999996
2,1517818801.0,113.557281,34.779474
2,1517816561.0,125.31364199999999,43.898338
2,1517806026.0,102.457625,38.103266999999995
2,1517818578.0,104.114129,37.550339
2,1517818268.0,121.973871,24.086957
2,1517818420.0,112.447525,34.657368
1,1517639599.0,109.532699,18.227692
1,1517648574.0,112.41056200000001,31.209315999999998
2,1517737646.0,121.973871,24.086957
1,1517621320.0,104.114129,37.550339
2,1517794837.0,121.973871,24.086957
2,1517737606.0,121.973871,24.086957
2,1517734892.0,121.973871,24.086957
1,1517639613.0,104.114129,37.550339
2,1517734970.0,121.973871,24.086957
2,1517737592.0,116.395645,39.929986
1,1517648931.0,121.487899,31.249162
1,1517641336.0,104.114129,37.550339
1,1517639630.0,116.354304,40.419344
1,1517632621.0,121.973871,24.086957
2,1517703858.0,116.523679,40.107461
2,1517799054.0,106.530635,29.544605999999998
